#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E38D
#Date Time: 2025-04-07 17:06:28.436
#Sample rate: 400000Hz
#Samples: 4096

Time (s),Bus,DIO  6,DIO  5,DIO  4,DIO  3,DIO  2,DIO  1,DIO  0
-0.001665,63,0,1,1,1,1,1,1
-0.0016625,63,0,1,1,1,1,1,1
-0.00166,63,0,1,1,1,1,1,1
-0.0016575,63,0,1,1,1,1,1,1
-0.001655,63,0,1,1,1,1,1,1
-0.0016525,63,0,1,1,1,1,1,1
-0.00165,63,0,1,1,1,1,1,1
-0.0016475,127,1,1,1,1,1,1,1
-0.001645,127,1,1,1,1,1,1,1
-0.0016425,127,1,1,1,1,1,1,1
-0.00164,127,1,1,1,1,1,1,1
-0.0016375,127,1,1,1,1,1,1,1
-0.001635,127,1,1,1,1,1,1,1
-0.0016325,127,1,1,1,1,1,1,1
-0.00163,127,1,1,1,1,1,1,1
-0.0016275,127,1,1,1,1,1,1,1
-0.001625,127,1,1,1,1,1,1,1
-0.0016225,127,1,1,1,1,1,1,1
-0.00162,127,1,1,1,1,1,1,1
-0.0016175,127,1,1,1,1,1,1,1
-0.001615,127,1,1,1,1,1,1,1
-0.0016125,127,1,1,1,1,1,1,1
-0.00161,127,1,1,1,1,1,1,1
-0.0016075,127,1,1,1,1,1,1,1
-0.001605,127,1,1,1,1,1,1,1
-0.0016025,127,1,1,1,1,1,1,1
-0.0016,127,1,1,1,1,1,1,1
-0.0015975,127,1,1,1,1,1,1,1
-0.001595,127,1,1,1,1,1,1,1
-0.0015925,127,1,1,1,1,1,1,1
-0.00159,127,1,1,1,1,1,1,1
-0.0015875,127,1,1,1,1,1,1,1
-0.001585,127,1,1,1,1,1,1,1
-0.0015825,127,1,1,1,1,1,1,1
-0.00158,127,1,1,1,1,1,1,1
-0.0015775,127,1,1,1,1,1,1,1
-0.001575,127,1,1,1,1,1,1,1
-0.0015725,127,1,1,1,1,1,1,1
-0.00157,127,1,1,1,1,1,1,1
-0.0015675,127,1,1,1,1,1,1,1
-0.001565,127,1,1,1,1,1,1,1
-0.0015625,127,1,1,1,1,1,1,1
